THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
2.0071,1.84,2.308,352.79,352.79,0.0,115.0,450,N4LO+,SIEGERT,-0.0,0.03994,-0.7163,-0.4027,0.03093,0.1621,-0.6068,-0.4756,-0.2916,0.0,1.065e-17,-0.1466,0.0,0.0,-0.0,-0.2689,0.3763,0.472,-0.0,0.2689,140
2.0246,1.817,2.303,352.79,352.79,0.0,116.0,450,N4LO+,SIEGERT,-0.0,0.007069,-0.7243,-0.3899,0.03485,0.1333,-0.6219,-0.4658,-0.2859,0.0,2.698e-17,-0.1418,4.256e-18,3.405e-17,-0.0,-0.2722,0.3715,0.4709,0.0,0.2722,140
2.042,1.794,2.299,352.79,352.79,0.0,117.0,450,N4LO+,SIEGERT,0.0,-0.026,-0.7313,-0.3771,0.0387,0.104,-0.6362,-0.4559,-0.2801,0.0,-5.465e-18,-0.1371,-8.529e-18,0.0,-0.0,-0.2753,0.3668,0.47,-0.0,0.2753,140
2.0595,1.771,2.295,352.79,352.79,0.0,118.0,450,N4LO+,SIEGERT,-0.0,-0.0592,-0.7372,-0.3643,0.04247,0.07408,-0.6496,-0.4458,-0.2743,0.0,-1.107e-17,-0.1325,0.0,2.563e-17,-0.0,-0.2781,0.3621,0.4693,0.0,0.2781,140
2.0769,1.748,2.292,352.79,352.79,0.0,119.0,450,N4LO+,SIEGERT,0.0,-0.09248,-0.742,-0.3514,0.04616,0.04372,-0.6621,-0.4357,-0.2683,0.0,-5.606e-18,-0.1279,-2.138e-18,8.553e-18,-0.0,-0.2807,0.3575,0.4687,0.0,0.2807,140
2.0944,1.726,2.29,352.79,352.79,0.0,120.0,450,N4LO+,SIEGERT,0.0,-0.1258,-0.7458,-0.3386,0.04975,0.01291,-0.6737,-0.4255,-0.2624,0.0,2.839e-18,-0.1233,-6.42e-18,-8.561e-18,-0.0,-0.283,0.353,0.4683,0.0,0.283,140
2.1118,1.704,2.289,352.79,352.79,0.0,121.0,450,N4LO+,SIEGERT,0.0,-0.1591,-0.7486,-0.3259,0.05324,-0.0183,-0.6845,-0.4152,-0.2564,0.0,-5.175e-17,-0.1188,-2.141e-18,-7.709e-17,-0.0,-0.285,0.3485,0.468,-0.0,0.285,140
2.1293,1.683,2.288,352.79,352.79,0.0,122.0,450,N4LO+,SIEGERT,0.0,-0.1923,-0.7503,-0.3132,0.05662,-0.04988,-0.6943,-0.4048,-0.2503,0.0,8.735e-18,-0.1143,2.142e-18,1.714e-17,-0.0,-0.2867,0.3442,0.4679,-0.0,0.2867,140
2.1468,1.662,2.288,352.79,352.79,0.0,123.0,450,N4LO+,SIEGERT,0.0,-0.2254,-0.7511,-0.3005,0.05987,-0.08178,-0.7032,-0.3944,-0.2442,0.0,-9.731e-17,-0.1099,1.499e-17,-8.567e-18,-0.0,-0.2882,0.3399,0.4679,-0.0,0.2882,140
2.1642,1.641,2.289,352.79,352.79,0.0,124.0,450,N4LO+,SIEGERT,-0.0,-0.2583,-0.7508,-0.288,0.063,-0.114,-0.7113,-0.3839,-0.2381,0.0,-2.389e-17,-0.1056,-6.423e-18,-2.569e-17,-0.0,-0.2894,0.3356,0.4681,0.0,0.2894,140
2.1817,1.621,2.29,352.79,352.79,0.0,125.0,450,N4LO+,SIEGERT,-0.0,-0.291,-0.7496,-0.2756,0.06599,-0.1464,-0.7184,-0.3734,-0.2319,0.0,7.558e-18,-0.1013,1.926e-17,-8.559e-18,-0.0,-0.2902,0.3315,0.4684,-0.0,0.2902,140
