,order,cutoff,rate,spec,decay type,particle,type,force
64,N3LO,1,19926272665882.0,1NC,N-D,3HE,DIRECT,3NF
65,N3LO,1,715543340747766.0,1NC,P-N-N,3HE,DIRECT,3NF
66,N2LO,1,36776512456884.0,1NC,N-D,3HE,DIRECT,3NF
67,N2LO,1,508615042823556.06,1NC,P-N-N,3HE,DIRECT,3NF
68,N2LO,4,3097910191789788.0,PW,N-D,3HE,DIRECT,3NF
69,N2LO,4,2.5674312527217344e+16,PW,P-N-N,3HE,DIRECT,3NF
70,N4LO,4,1365719023407483.8,FULL,N-D,3HE,DIRECT,3NF
71,N4LO,4,1.0395528399073242e+16,FULL,P-N-N,3HE,DIRECT,3NF
72,N3LO,3,35216553816208.99,1NC,N-D,3HE,DIRECT,3NF
73,N3LO,3,654341371556278.0,1NC,P-N-N,3HE,DIRECT,3NF
74,N2LO,2,68027795161353.016,1NC,N-D,3HE,DIRECT,3NF
75,N2LO,2,507940123857099.94,1NC,P-N-N,3HE,DIRECT,3NF
76,N3LO,3,1811196022777225.0,FULL,N-D,3HE,DIRECT,3NF
77,N3LO,3,1.1422531657824706e+16,FULL,P-N-N,3HE,DIRECT,3NF
78,N2LO,1,8872860155955420.0,PW,N-D,3HE,DIRECT,3NF
79,N2LO,1,3.980791854776484e+16,PW,P-N-N,3HE,DIRECT,3NF
80,N3LO,3,5885556585488615.0,PW,N-D,3HE,DIRECT,3NF
81,N3LO,3,3.384236341170184e+16,PW,P-N-N,3HE,DIRECT,3NF
82,N4LO+,4,4695442778935669.0,PW,N-D,3HE,DIRECT,3NF
83,N4LO+,4,3.0785573946097212e+16,PW,P-N-N,3HE,DIRECT,3NF
84,N4LO,2,18953718357902.0,1NC,N-D,3HE,DIRECT,3NF
85,N4LO,2,682882777639010.1,1NC,P-N-N,3HE,DIRECT,3NF
86,N2LO,4,47326516656528.01,1NC,N-D,3HE,DIRECT,3NF
87,N2LO,4,873869398101768.0,1NC,P-N-N,3HE,DIRECT,3NF
88,N4LO+,1,8485515461970111.0,PW,N-D,3HE,DIRECT,3NF
89,N4LO+,1,3.916105256673169e+16,PW,P-N-N,3HE,DIRECT,3NF
90,N2LO,3,64893214345205.01,1NC,N-D,3HE,DIRECT,3NF
91,N2LO,3,628461064735383.0,1NC,P-N-N,3HE,DIRECT,3NF
92,N4LO+,2,6832709438839943.0,PW,N-D,3HE,DIRECT,3NF
93,N4LO+,2,3.5930734327693344e+16,PW,P-N-N,3HE,DIRECT,3NF
94,N4LO,2,6941244148069825.0,PW,N-D,3HE,DIRECT,3NF
95,N4LO,2,3.620152129426276e+16,PW,P-N-N,3HE,DIRECT,3NF
96,N4LO+,2,2131608543241274.2,FULL,N-D,3HE,DIRECT,3NF
97,N4LO+,2,1.29932404575806e+16,FULL,P-N-N,3HE,DIRECT,3NF
98,N4LO,1,8583824766906563.0,PW,N-D,3HE,DIRECT,3NF
99,N4LO,1,3.9389902422114184e+16,PW,P-N-N,3HE,DIRECT,3NF
100,N3LO,1,8436967938608163.0,PW,N-D,3HE,DIRECT,3NF
101,N3LO,1,3.915131870353194e+16,PW,P-N-N,3HE,DIRECT,3NF
102,N3LO,2,6921281566381566.0,PW,N-D,3HE,DIRECT,3NF
103,N3LO,2,3.619095461487998e+16,PW,P-N-N,3HE,DIRECT,3NF
104,N4LO,3,38362456354978.01,1NC,N-D,3HE,DIRECT,3NF
105,N4LO,3,671327099392042.1,1NC,P-N-N,3HE,DIRECT,3NF
106,N2LO,2,6660735848630565.0,PW,N-D,3HE,DIRECT,3NF
107,N3LO,4,5571277956056905.0,PW,N-D,3HE,DIRECT,3NF
108,N3LO,4,3.30615966068168e+16,PW,P-N-N,3HE,DIRECT,3NF
109,N4LO,3,5665611157135203.0,PW,N-D,3HE,DIRECT,3NF
110,N4LO,3,3.3330634957599172e+16,PW,P-N-N,3HE,DIRECT,3NF
