DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
34	0.02858	0.09513000000000001	0.08519	0.09871000000000001	0.09554	0.09583	0.09572	0.09566	0.08923	0.08733
35	0.0282	0.09487	0.08484	0.0984	0.09523	0.09554	0.09547	0.09543	0.08891	0.08708
36	0.02776	0.09445000000000001	0.08434	0.09791999999999999	0.09474	0.09508	0.09504	0.09503	0.08842	0.08667
37	0.02729	0.09389	0.08369	0.09727	0.09408999999999999	0.09446	0.09445000000000001	0.09446	0.08778	0.08611000000000001
38	0.02676	0.09318	0.08288	0.09644999999999999	0.09327000000000001	0.09368	0.09370000000000001	0.09374	0.08698	0.0854
39	0.0262	0.09232	0.08193	0.09546	0.09229999999999999	0.09273000000000001	0.09278	0.09285	0.08603	0.08454
40	0.0256	0.09132	0.08084	0.09431	0.09118	0.09163	0.09171	0.09181	0.08493000000000001	0.08354
41	0.02496	0.09019000000000001	0.0796	0.09301	0.08989999999999999	0.09037000000000001	0.09049	0.09061	0.08368	0.08239
42	0.02429	0.08893	0.07822999999999999	0.09154	0.08848	0.08896999999999999	0.08912	0.08926000000000001	0.08229	0.08110000000000001
43	0.02357	0.08753	0.07672	0.08993	0.08691	0.08742	0.0876	0.08776	0.08076	0.07967
44	0.02283	0.08599999999999999	0.07507	0.08816	0.0852	0.08572	0.08593000000000001	0.08612	0.0791	0.07811
45	0.02205	0.08434999999999999	0.0733	0.08624999999999999	0.08334	0.08388	0.08412	0.08434	0.07729	0.07641000000000001
46	0.02123	0.08258	0.07139	0.0842	0.08135000000000001	0.08191	0.08217000000000001	0.08241	0.07536	0.07457999999999999
47	0.02039	0.08069	0.06936	0.082	0.07922999999999999	0.07979	0.08008	0.08035	0.07328999999999999	0.07262
48	0.01951	0.07867	0.0672	0.07967	0.07697	0.07754	0.07786	0.07815	0.07109	0.07053
49	0.0186	0.07654	0.06492000000000001	0.07718999999999999	0.07459	0.07516	0.07550999999999999	0.07581	0.06877	0.06832000000000001
50	0.01766	0.07428999999999999	0.06251	0.07459	0.07207	0.07265000000000001	0.07302	0.07335	0.06632	0.06598999999999999
51	0.01669	0.07192999999999999	0.05998	0.07185	0.06943000000000001	0.07001	0.0704	0.07074999999999999	0.06374	0.06353
52	0.01569	0.06945999999999999	0.05734	0.06898	0.06666	0.06725	0.06766	0.06802999999999999	0.06105	0.06095
